ReferenceArea,MEASURE,Measure,Age,Sex,UnitOfMeasure,TIME_PERIOD,OBS_VALUE
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2016,8.4
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2017,9.1
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2018,7.1
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,4.9
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2020,4.6
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2021,2.3
Hungary,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,27.2
Hungary,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,26.3
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,2142.8
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1855.6
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1719.1
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1577.8
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1548
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1537.5
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1533.5
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1477.5
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1469.8
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1472.8
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,1486.5
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,1486
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2022,1519.9
India,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,25.4
India,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2015,19.1
India,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,16.1
India,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,15.3
India,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,14.4
Türkiye,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2010,6.1
Türkiye,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2012,5
Türkiye,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2014,5.7
Türkiye,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2016,7.8
Türkiye,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2019,7.9
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,10
Spain,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2011,27.9
Spain,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2014,27.6
Spain,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2017,25.6
Spain,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,23.3
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,19.5
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2011,20.1
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,20.7
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,19.3
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,19.6
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,18.2
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,18.3
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,17.7
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,17.8
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,16.7
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,22.9
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2011,23.2
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,21.6
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,19.9
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,20
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,17.3
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,18.4
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,17.5
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,17.5
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,16.4
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,15.9
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,15.4
Israel,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2010,12.6
Israel,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2013,10.8
Israel,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2014,11.4
Israel,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2016,14.1
Israel,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2017,12.8
Israel,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2019,11.4
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,10.8
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2011,9.4
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,13.3
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2013,7.5
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,11.5
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2015,5.5
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,6.9
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,5.5
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2018,4.7
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,3.2
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2020,2.4
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,3.9
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2022,3
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2010,40.7
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2012,31.4
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2014,42.6
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2016,44.2
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2017,35.3
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2018,33.2
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,36.5
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2020,35.8
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2021,28.7
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2015,20
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2016,21
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2017,20
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,19
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,16
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2021,17
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2022,17
Greece,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,18.8
Greece,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,17
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,10.7
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,10.5
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,10.4
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,10.2
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,10.1
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,9.9
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,10.3
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,10.3
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,10.3
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,10.2
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,10.2
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,10.2
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2022,7.2
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,36.8
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2012,36.2
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2014,31.4
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2016,29.9
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,23.4
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,25.7
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2022,21
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2010,11.7
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2011,10.7
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2012,9.2
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2013,8.6
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2014,9
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2015,8.3
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2016,8
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2017,7.5
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2018,6.9
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2019,7.7
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2020,7.6
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2021,6.7
Romania,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2014,5.4
Romania,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2019,5.7
Latvia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,20.3
Latvia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,16.6
Switzerland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2012,25
Switzerland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2017,21.7
Australia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,16.6
Australia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2013,14.7
Australia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2016,14
Australia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,12.4
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,16.8
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2011,16.5
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2012,15.5
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2013,14.4
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2014,12.8
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2015,12.8
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2016,12.7
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2017,13.2
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,12.1
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,12.3
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,11.7
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2021,11.8
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,23.1
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2011,23.5
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2012,20.6
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2013,20.9
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2014,21.7
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2015,21.2
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2016,20.9
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2017,19.5
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,17.8
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,17.7
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,15.7
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2021,17.6
Switzerland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2012,20.2
Switzerland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2017,17.1
Russia,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,30.3
Russia,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,27.5
Russia,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,26.7
Russia,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,25.8
Poland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,15.5
Poland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,15.2
Indonesia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,59.5
Indonesia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2015,61.1
Indonesia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,61.9
Indonesia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,62.5
Indonesia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,62.7
Belgium,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2013,15.4
Belgium,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2018,14.1
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2010,10
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2011,9
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2012,6
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2013,8
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2014,6
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2015,5
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2016,5
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2017,5
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2018,5
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,2
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2020,2
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2021,2
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2022,4
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2010,18.7
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2012,18.3
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2014,15.8
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2016,15.5
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2018,12.9
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2020,12.6
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2022,12.1
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1783
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1587
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1543
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1553
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1260
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1283
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1272
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1339
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1113
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1196
