ReferenceArea,MEASURE,Measure,Age,Sex,UnitOfMeasure,TIME_PERIOD,OBS_VALUE
India,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,15.3
India,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,14.4
Türkiye,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2010,6.1
Türkiye,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2012,5
Türkiye,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2014,5.7
Türkiye,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2016,7.8
Türkiye,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2019,7.9
Spain,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2011,27.9
Spain,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2014,27.6
Spain,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2017,25.6
Spain,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,23.3
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,19.5
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2011,20.1
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,20.7
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,19.3
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,19.6
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,18.2
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,18.3
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,17.7
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,17.8
Japan,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,16.7
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,22.9
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2011,23.2
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,21.6
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,19.9
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,20
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,17.3
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,18.4
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,17.5
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,17.5
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,16.4
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,15.9
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,15.4
Israel,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2010,12.6
Israel,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2013,10.8
Israel,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2014,11.4
Israel,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2016,14.1
Israel,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2017,12.8
Israel,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2019,11.4
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,10.8
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2011,9.4
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,13.3
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2013,7.5
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,11.5
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2015,5.5
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,6.9
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,5.5
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2018,4.7
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,3.2
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2020,2.4
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,3.9
Iceland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2022,3
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2010,40.7
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2012,31.4
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2014,42.6
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2016,44.2
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2017,35.3
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2018,33.2
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,36.5
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2020,35.8
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2021,28.7
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2015,20
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2016,21
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2017,20
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,19
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,16
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2021,17
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2022,17
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,36.8
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2012,36.2
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2014,31.4
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2016,29.9
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,23.4
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,25.7
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2022,21
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2010,11.7
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2011,10.7
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2012,9.2
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2013,8.6
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2014,9
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2015,8.3
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2016,8
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2017,7.5
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2018,6.9
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2019,7.7
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2020,7.6
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2021,6.7
Romania,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2014,5.4
Romania,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2019,5.7
Latvia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,20.3
Latvia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,16.6
Switzerland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2012,25
Switzerland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2017,21.7
Australia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,16.6
Australia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2013,14.7
Australia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2016,14
Australia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,12.4
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,16.8
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2011,16.5
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2012,15.5
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2013,14.4
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2014,12.8
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2015,12.8
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2016,12.7
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2017,13.2
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,12.1
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,12.3
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,11.7
Brazil,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2021,11.8
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,23.1
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2011,23.5
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2012,20.6
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2013,20.9
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2014,21.7
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2015,21.2
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2016,20.9
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2017,19.5
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,17.8
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,17.7
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,15.7
Netherlands,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2021,17.6
Switzerland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2012,20.2
Switzerland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2017,17.1
Russia,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,30.3
Russia,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,27.5
Russia,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,26.7
Russia,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,25.8
Indonesia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,59.5
Indonesia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2015,61.1
Indonesia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,61.9
Indonesia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,62.5
Indonesia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,62.7
Belgium,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2013,15.4
Belgium,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2018,14.1
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2010,10
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2011,9
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2012,6
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2013,8
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2014,6
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2015,5
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2016,5
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2017,5
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2018,5
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,2
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2020,2
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2021,2
Norway,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2022,4
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2010,18.7
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2012,18.3
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2014,15.8
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2016,15.5
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2018,12.9
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2020,12.6
Estonia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2022,12.1
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,20.9
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2011,18.4
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2012,18.4
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2013,17.6
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2014,17
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2015,16
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2016,17.3
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2017,18.1
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,15.7
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,17.6
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,17.7
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2021,21
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2022,21.2
Belgium,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2013,21.6
Belgium,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,18.9
China (People’s Republic of),SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,49.2
China (People’s Republic of),SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2015,48.6
China (People’s Republic of),SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,47.9
China (People’s Republic of),SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,48
China (People’s Republic of),SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,47.8
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2010,26.2
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2012,24.3
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2014,31.8
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2016,29.2
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2017,28.8
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2018,28.8
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2019,27
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2020,27.7
France,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2021,27.9
Netherlands,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2010,22.4
Netherlands,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2011,20.1
Netherlands,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2012,19.5
Netherlands,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2013,19.7
Netherlands,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2014,19
Netherlands,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2015,20.4
Netherlands,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2016,14.3
Netherlands,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2017,15
Netherlands,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2018,12.8
Netherlands,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,13.8
Netherlands,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2020,10.2
Netherlands,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2021,13.7
Chile,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2016,22.8
Chile,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2020,6.9
Spain,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2011,20.2
Spain,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2014,18.6
Spain,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2017,18.8
Spain,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2020,16.5
Colombia,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,13
Croatia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,20.5
Croatia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,17.7
Latvia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2014,15.3
Latvia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2019,12.6
New Zealand,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2012,17.4
New Zealand,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2013,16.3
