Reference area,MEASURE,Measure,Age,Sex,Unit of measure,TIME_PERIOD,OBS_VALUE
United States,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,13.5
Hungary,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,13.9
Hungary,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,12.2
Finland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,812
Finland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1221
Finland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,544
Finland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1286
Finland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,824
Finland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,918
Finland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,663
Finland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,829
Finland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,734
Finland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,575
Finland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,735
Finland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,438
Denmark,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,15.1
Chile,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,12.7
Chile,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,11.3
New Zealand,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,964
New Zealand,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,859
New Zealand,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,818
New Zealand,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,769
New Zealand,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,742
New Zealand,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,704
New Zealand,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,669
New Zealand,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,623
New Zealand,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,586
Norway,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,11.5
Norway,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,13.3
Norway,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,12.7
Norway,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,12.9
Norway,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,12.6
Norway,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,12.1
Norway,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,11.3
Norway,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,11.6
Norway,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,11.7
Norway,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,11.9
Norway,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,12.5
Norway,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,11.8
Norway,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2022,10.8
Slovenia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,14.9
Slovenia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,11.9
France,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,14.8
France,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,13.6
France,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,13.5
France,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,13.3
France,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,13
France,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,12.5
France,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,13
France,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,12.7
Czechia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,2367
Czechia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,2328
Czechia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,2284
Czechia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,2238
Czechia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,2297
Czechia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,2373
Czechia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,2350
Czechia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,2345
Czechia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,2367
Czechia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,2329
Czechia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,2256
Türkiye,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,13.3
Türkiye,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,19.2
Türkiye,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,17.6
Türkiye,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,17.3
Türkiye,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,17.1
Germany,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,15.3
Germany,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,15.3
Germany,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,15.2
Germany,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,15.4
Slovak Republic,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,13
Slovak Republic,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,13
Australia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1009
Australia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,971.7
Australia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,964.7
Australia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,915.8
Australia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,830.8
Australia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,790
Australia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,756.1
Australia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,677.3
Australia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,647
Australia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,690.5
Australia,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,549.3
Romania,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,13
Romania,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,13.8
Norway,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1123
Norway,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1073
Norway,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,948
Norway,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,923
Norway,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,837
Norway,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,876
Norway,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,926
Norway,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,761
Norway,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,793
Norway,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,776
Norway,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,893
Norway,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,1115
Norway,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2022,988
Czechia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,14.7
Czechia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,12.3
Czechia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,14
Czechia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,10.9
Czechia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,11.4
Czechia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,11
Czechia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,12.4
Czechia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,12.3
Czechia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,12.1
Czechia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,11.2
Czechia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,12.7
Czechia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,10.9
Costa Rica,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,314.5
Costa Rica,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,314.7
Costa Rica,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,309.4
Costa Rica,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,244.7
Costa Rica,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,245.8
Costa Rica,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,226.6
Costa Rica,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,206.1
Costa Rica,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,200.4
Costa Rica,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,171.9
Costa Rica,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,147
Costa Rica,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,162.3
Costa Rica,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2022,127.7
Switzerland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,10.6
Switzerland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,10
Spain,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,13.8
Spain,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,13.2
Spain,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,12.3
Spain,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,12
Estonia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,13
Estonia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,13
Estonia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,12
Estonia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,13
Estonia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,12
Estonia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,12
Estonia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2022,12
Poland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1229
Poland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1205
Belgium,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,15.9
Belgium,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,14.8
Finland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,14.3
Finland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,14
Finland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,14.3
Finland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,13.3
Finland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,14.1
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,10.5
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,10.3
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,9.8
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,9.4
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,10.7
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,10.4
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,10.5
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,10.2
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,9.7
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,9.9
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,10.1
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,9.8
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1746.9
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1524.6
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1404.2
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1444.1
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1361.4
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1325.4
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1170.9
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1107.7
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1070.1
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,959.8
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,871.6
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,807.7
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,12.7
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,12.8
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,12.7
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,12.1
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,12.1
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,11.6
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,11.6
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,11.5
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,11.1
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,11.1
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,10.9
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,11
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1004.4
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,955.3
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,854.8
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,804.8
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,739.4
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,702.4
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,643.9
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,591.2
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,446
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,420.6
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,2151
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,2131
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,2095
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,2054
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,2054
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1581
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1720
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1607
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1606
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1574
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,1592
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,1589
Israel,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,18.2
Israel,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,18.1
Israel,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,16.2
Israel,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,17.2
Israel,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,16.1
Israel,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,15.7
Austria,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,15.6
Austria,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,15.4
New Zealand,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,12.6
New Zealand,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,11.5
New Zealand,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,11.2
New Zealand,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,11.2
New Zealand,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,10.9
New Zealand,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,10.6
New Zealand,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,10.2
New Zealand,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,10.3
New Zealand,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,10
New Zealand,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,10
New Zealand,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,9.4
New Zealand,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,9.9
New Zealand,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2022,9.6
Türkiye,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1211
Türkiye,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1113.2
Türkiye,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1173.7
Türkiye,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1041.7
Türkiye,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1021
Türkiye,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1076.5
Türkiye,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1077.8
Türkiye,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1073.7
Türkiye,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1178.2
Türkiye,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1179.5
Türkiye,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,1182.4
Türkiye,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,1252
Canada,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,15.1
Canada,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,14.9
Canada,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,14.8
Canada,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,14.7
Canada,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,14.8
Canada,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,14.6
Canada,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,14.7
Canada,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,14.4
Canada,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,14.2
Canada,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,14.5
Canada,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,14.1
Canada,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,13.9
Mexico,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,6.6
Mexico,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,6.3
Mexico,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,7.7
Mexico,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,7.4
Mexico,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,7.1
Germany,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1694
Germany,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1785
Germany,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1692
