ReferenceArea,UnitOfMeasure,Age,Sex,CANCER_SITE,CancerSite,TIME_PERIOD,OBS_VALUE
Indonesia,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,10.1
United States,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,101.1
United States,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,76
United States,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,92.9
Czechia,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,58.5
Czechia,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,60.7
Czechia,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,54
Australia,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,16.8
Australia,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,19.2
Australia,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,21.5
Slovak Republic,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,18.5
Slovak Republic,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,15.8
Slovak Republic,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,16.1
Luxembourg,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2000,3.6
Luxembourg,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,8.7
Luxembourg,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,6.3
Luxembourg,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,4.9
Canada,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,272.4
Canada,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,275
Canada,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,277.4
Slovak Republic,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,30.5
Slovak Republic,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,39.8
Slovak Republic,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,50
Denmark,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,46.8
Denmark,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,45.3
Denmark,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,43.4
Denmark,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,41.6
South Africa,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,18.5
Italy,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2000,290.5
Italy,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,321.3
Italy,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,310
Italy,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,312.9
Ireland,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2000,7.9
Ireland,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,7.2
Ireland,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,10.9
Ireland,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,13.6
Costa Rica,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,15.9
India,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,6.9
Lithuania,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,251.9
Hungary,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,56.6
Hungary,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,60.6
Hungary,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,58.9
Türkiye,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,8.8
Türkiye,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,11
Türkiye,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,16.6
Belgium,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2000,57.5
Belgium,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,74.2
Belgium,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,102.3
Belgium,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,90.9
Ireland,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2000,47.8
Ireland,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,56.3
Ireland,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,126.3
Ireland,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,114.2
Spain,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2000,272.3
Spain,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,307.6
Spain,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,309.9
Spain,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,312.8
Russia,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,24
Latvia,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,30
Switzerland,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,23.8
Switzerland,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,25.2
Switzerland,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,21.5
Switzerland,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,23.6
Belgium,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2000,82.2
Belgium,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,92
Belgium,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,109.4
Belgium,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,111.9
Portugal,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,33.9
Portugal,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,34.2
Portugal,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,29
Portugal,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,34.2
Lithuania,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,26.2
Spain,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2000,219.3
Spain,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,243.4
Spain,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,241.4
Spain,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,249
Finland,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2000,222.6
Finland,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,227.9
Finland,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,229.9
Finland,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,234.2
Poland,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,31.9
Poland,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,32.7
Poland,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,37.2
Lithuania,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,55.4
Latvia,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,7.9
Greece,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,13.6
Greece,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,15.6
Greece,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,11.5
Greece,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,11.2
Denmark,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2000,287.8
Denmark,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,281.4
Denmark,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,321.1
Denmark,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,338.1
Israel,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,16.1
Israel,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,14.4
Luxembourg,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2000,50.4
Luxembourg,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,57.2
Luxembourg,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,74.8
Luxembourg,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,78.8
Mexico,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,7.9
Mexico,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,7
Mexico,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,8.9
Austria,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,27
Austria,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,28.5
Austria,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,25.1
Austria,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,27.5
Belgium,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,28
Belgium,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,26.8
Belgium,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,28.6
Belgium,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,29.5
India,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,22
Israel,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,280.4
Israel,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,258.7
Slovenia,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,231.8
Slovenia,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,251.5
Estonia,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,42.8
Estonia,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,94.4
Denmark,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,37.3
Denmark,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,37.6
Denmark,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,39.3
Denmark,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,39.2
China,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,14.2
Spain,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,53.2
Spain,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,55.8
Spain,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,53.3
Spain,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,52.5
New Zealand,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,100.9
New Zealand,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,99.7
New Zealand,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,92.2
Costa Rica,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,67.5
Hungary,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,250.7
Hungary,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,238.5
Hungary,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,236.5
Japan,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,12.6
Japan,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,22.7
Japan,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,30.4
India,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,92.4
China,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,16.9
Iceland,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,288.4
Iceland,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,315.1
Iceland,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,299.5
Greece,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2000,158
Greece,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,171.1
Greece,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,141.9
Greece,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,138
Chile,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,14.4
Chile,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,15.7
South Africa,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,224.3
Germany,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,50.3
Germany,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,46.7
Germany,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,42.4
Germany,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,38.8
Netherlands,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,39.8
Netherlands,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,38.8
Netherlands,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,35
Netherlands,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,37.2
India,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,11
Brazil,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,16.3
France,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2000,342.6
France,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,341.8
France,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,360.6
France,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,356
Denmark,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2000,278.7
Denmark,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,277.2
Denmark,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,337.4
Denmark,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,354.3
China,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,20.4
China,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,139.9
Chile,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,176.7
Chile,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,175.7
Finland,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,8.9
Finland,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,10.1
Finland,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,10.8
Finland,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,12.2
Hungary,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,24.9
Hungary,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,28.4
Hungary,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,33.2
Israel,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,45.6
Israel,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,43
Germany,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,30.8
Germany,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,29.7
Germany,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,28.1
Germany,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,27.5
New Zealand,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,10
New Zealand,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,5.5
New Zealand,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,5.3
Poland,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,301.8
Poland,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,284.6
Poland,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,269.2
Norway,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,10.4
Norway,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,9.3
Norway,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,9.8
Costa Rica,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,169.2
Hungary,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,45.2
Hungary,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,42.6
Hungary,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,42.3
South Africa,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,28.7
Japan,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,38.1
Japan,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,38.7
Japan,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,38.8
Japan,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,26.5
Japan,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,22.8
Japan,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,23.5
Norway,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,81.8
Norway,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,115.6
Norway,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,129.7
Estonia,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,50.2
Estonia,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,51.6
Sweden,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,16.8
Sweden,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,17.8
Sweden,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,18.5
Sweden,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,19.1
Russia,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,51.4
Luxembourg,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,30.9
Luxembourg,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,30.8
Luxembourg,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,25.9
Luxembourg,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,21.6
Norway,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,37.1
Norway,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,35.2
Norway,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,35.8
